Unnamed: 0,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,tanggal_dummy,Usia,Is_Couple,Is_SMA,Anak,cmp_masuk,Spent,deals_rate,conversion_rate,rentang
0,0,5524,1957,S1,Lajang,58138000.0,0,0,2012-09-04,58,635000,88000,546000,172000,88000,88000,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012-11-01,57,0,0,0,0,1617000,0.12,0.5333333333333333,Lansia
1,1,2174,1954,S1,Lajang,46344000.0,1,1,2014-03-08,38,11000,1000,6000,2000,1000,6000,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014-04-15,60,0,0,2,0,27000,0.3333333333333333,0.16666666666666666,Lansia
2,2,4141,1965,S1,Bertunangan,71613000.0,0,0,2013-08-21,26,426000,49000,127000,111000,21000,42000,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013-09-16,49,1,0,0,0,776000,0.047619047619047616,0.6666666666666666,Tua
3,3,6182,1984,S1,Bertunangan,26646000.0,1,0,2014-02-10,26,11000,4000,20000,10000,3000,5000,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014-03-08,30,1,0,1,0,53000,0.25,0.25,Muda
4,4,5324,1981,S3,Menikah,58293000.0,1,0,2014-01-19,94,173000,43000,118000,46000,27000,15000,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014-04-23,33,1,0,1,0,422000,0.2631578947368421,0.5,Tua
5,5,7446,1967,S2,Bertunangan,62513000.0,0,1,2013-09-09,16,520000,42000,98000,0,42000,14000,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013-09-25,47,1,0,1,0,716000,0.09090909090909091,0.5,Tua
6,6,965,1971,S1,Cerai,55635000.0,0,1,2012-11-13,34,235000,65000,164000,50000,49000,27000,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012-12-17,43,0,0,1,0,590000,0.19047619047619047,0.5384615384615384,Tua
7,7,6177,1985,S3,Menikah,33454000.0,1,0,2013-05-08,32,76000,10000,56000,3000,1000,23000,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013-06-09,29,1,0,1,0,169000,0.2,0.3333333333333333,Muda
8,8,4855,1974,S3,Bertunangan,30351000.0,1,0,2013-06-06,19,14000,0,24000,3000,3000,2000,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013-06-25,40,1,0,1,0,46000,0.16666666666666666,0.25,Tua
9,9,5899,1950,S3,Bertunangan,5648000.0,1,1,2014-03-13,68,28000,0,6000,1000,1000,13000,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014-05-20,64,1,0,2,1,49000,0.5,0.047619047619047616,Lansia
